instance_id,num_customers,num_charging_stations,total_distance,total_energy,total_time,num_vehicles,charging_stops,computation_time
c10_5,10,10,348.39037209841507,97.01318595537073,16.20834215666388,1,1,0.0003299713134765625
c10_9,10,10,407.846585508681,111.82679720302517,18.586590693074513,1,1,0.0003490447998046875
c10_8,10,10,285.4568515263747,80.14438102917872,13.69100133378226,1,1,0.00021886825561523438
c10_12,10,10,332.7520372072475,91.17904972955276,15.582808761017175,1,1,0.0002620220184326172
c10_13,10,10,284.2636097642995,78.49578406227653,13.643271663299254,1,1,0.0002760887145996094
c10_4,10,10,348.68125578372053,96.03531878806152,16.219977504076095,1,1,0.00026702880859375
c10_14,10,10,369.8323166653168,101.28618620986272,17.066019939339945,1,1,0.0002110004425048828
c10_3,10,10,379.88637658527637,104.87736284964,19.740909608865604,1,2,0.00024008750915527344
c10_18,10,10,334.72404510386013,92.49461801720574,15.661689076881679,1,1,0.00019788742065429688
c10_15,10,10,269.95750548247076,74.44545335507368,13.071027492026104,1,1,0.00019812583923339844
c10_2,10,10,391.4487290671095,106.81275709138285,17.930676435411655,1,1,0.00021028518676757812
c10_19,10,10,355.98450545712143,98.8794921077909,16.512107491012127,1,1,0.0002067089080810547
c10_16,10,10,317.7914879820017,87.10547721056969,14.98438679200734,1,1,0.00020623207092285156
c10_1,10,10,364.4306498219601,100.3407098506268,16.84995326560568,1,1,0.0001919269561767578
c10_7,10,10,356.1062222650665,97.9732802267131,16.516976163329932,1,1,0.00019097328186035156
c10_20,10,10,346.09930644939556,94.30548501044419,16.116699530703098,1,1,0.0002079010009765625
c10_17,10,10,371.5494715156403,102.64391793689356,17.134706133352886,1,1,0.00021314620971679688
c10_11,10,10,332.721476993459,92.18641398052051,15.581586352465635,1,1,0.00026702880859375
c10_10,10,10,383.5714977735849,104.52966104164668,17.61558718367067,1,1,0.00030684471130371094
c10_6,10,10,397.12675027074874,109.49163256349914,18.157797283557223,1,1,0.0003159046173095703
c20_17,20,10,581.9925048726682,156.44484081773462,27.597882013088544,2,2,0.0004799365997314453
c20_3,20,10,619.6629604952601,164.56229230405938,27.059245692537676,3,1,0.0006608963012695312
c20_20,20,10,604.6851467552818,159.7199159147799,28.50558768839309,3,2,0.0004410743713378906
c20_2,20,10,528.5150665043243,142.77606319547965,25.458784478354787,2,2,0.0005180835723876953
c20_11,20,10,588.1649082172378,158.47647263057976,27.844778146871334,2,2,0.0008270740509033203
c20_16,20,10,628.6371802937767,165.94936538668284,27.19094175720561,3,1,0.00045609474182128906
c20_9,20,10,651.1956554990122,173.15716709090017,30.366008038142304,3,2,0.0013499259948730469
c20_10,20,10,503.88967296157534,134.94276835631268,22.201041463917562,2,1,0.00044989585876464844
c20_4,20,10,654.2981128531319,172.5085637573483,30.490106332307096,3,2,0.00045490264892578125
c20_5,20,10,580.082241260281,155.7092035787374,27.521471468593056,2,2,0.00045299530029296875
c20_7,20,10,554.9333170432051,148.5561906357056,26.51551449991002,2,2,0.0004260540008544922
c20_8,20,10,585.1210938943481,153.73359269140727,25.450298301228468,3,1,0.00044083595275878906
