instance_id,num_customers,num_charging_stations,total_distance,total_energy,total_time,num_vehicles,charging_stops,computation_time,max_time
c10_5,10,10,348.39037209841507,97.01318595537073,16.20834215666388,1,1,0.00027108192443847656,16.20834215666388
c10_12,10,10,332.7520372072475,91.17904972955276,15.582808761017175,1,1,0.00025200843811035156,15.582808761017175
c10_9,10,10,407.846585508681,111.82679720302517,18.586590693074513,1,1,0.0003459453582763672,18.586590693074513
c10_8,10,10,285.4568515263747,80.14438102917872,13.69100133378226,1,1,0.00022077560424804688,13.69100133378226
c10_13,10,10,284.2636097642995,78.49578406227653,13.643271663299254,1,1,0.00018596649169921875,13.643271663299254
c10_4,10,10,348.68125578372053,96.03531878806152,16.219977504076095,1,1,0.00019502639770507812,16.219977504076095
c10_14,10,10,369.8323166653168,101.28618620986272,17.066019939339945,1,1,0.00018095970153808594,17.066019939339945
c10_18,10,10,334.72404510386013,92.49461801720574,15.661689076881679,1,1,0.0010228157043457031,15.661689076881679
c10_3,10,10,379.88637658527637,104.87736284964,19.740909608865604,1,2,0.0002148151397705078,19.740909608865604
c10_15,10,10,269.95750548247076,74.44545335507368,13.071027492026104,1,1,0.0002319812774658203,13.071027492026104
c10_19,10,10,355.98450545712143,98.8794921077909,16.512107491012127,1,1,0.0003008842468261719,16.512107491012127
c10_2,10,10,391.4487290671095,106.81275709138285,17.930676435411655,1,1,0.00037097930908203125,17.930676435411655
c10_1,10,10,364.4306498219601,100.3407098506268,16.84995326560568,1,1,0.000240325927734375,16.84995326560568
c10_20,10,10,346.09930644939556,94.30548501044419,16.116699530703098,1,1,0.0002110004425048828,16.116699530703098
c10_17,10,10,371.5494715156403,102.64391793689356,17.134706133352886,1,1,0.0002720355987548828,17.134706133352886
c10_16,10,10,317.7914879820017,87.10547721056969,14.98438679200734,1,1,0.000247955322265625,14.98438679200734
c10_7,10,10,356.1062222650665,97.9732802267131,16.516976163329932,1,1,0.0002219676971435547,16.516976163329932
c10_10,10,10,383.5714977735849,104.52966104164668,17.61558718367067,1,1,0.0002601146697998047,17.61558718367067
c10_11,10,10,332.721476993459,92.18641398052051,15.581586352465635,1,1,0.00066375732421875,15.581586352465635
c10_6,10,10,397.12675027074874,109.49163256349914,18.157797283557223,1,1,0.00023293495178222656,18.157797283557223
